Package	Package Version	Is Latest	Poseidon Version	Description	Last modified	Nr Individuals
2010_RasmussenNature	2.1.1	True	2.5.0	A Palaeo-Eskimo from Greenland. Originally AADR v42.4.	2023-07-11	1
2012_KellerNatureCommunications	2.1.1	True	2.5.0	Copper age Tyrolean Iceman (Oetzi). Originally AADR v42.4.	2023-07-11	1
2012_MeyerScience	2.1.1	True	2.5.0	A small number of modern reference samples from Africa and Europe. Originally AADR v42.4.	2023-07-11	6
2012_PattersonGenetics	2.1.1	False	2.5.0	A large collection of modern samples from all around the world. Originally AADR v42.4.	2023-07-11	1036
2012_PattersonGenetics	2.1.3	True	2.5.0	A large collection of modern samples from all around the world. Originally AADR v42.4.	2023-09-25	1036
2012_PickrellNatureCommunications	2.1.1	False	2.5.0	23 modern southern and eastern African populations. Originally AADR v42.4.	2023-07-11	9
2012_PickrellNatureCommunications	2.1.2	True	2.5.0	23 modern southern and eastern African populations. Originally AADR v42.4.	2023-09-14	9
2014_FuNature	2.1.1	True	2.5.0	A 45000-year-old modern human from Siberia. Originally AADR v42.4.	2023-07-11	1
2014_GambaNatureCommunications	2.1.1	True	2.5.0	Hungarian Neolithic, Copper, Bronze and Iron Age individuals. Originally AADR v42.4.	2023-07-11	13
2014_LazaridisNature	3.1.1	False	2.7.0	Early Farmers and Hunter Gatherers from Central and Northern Europe. This package does not include all published individuals, see README for details. Originally AADR v42.4.	2023-07-11	1202
2014_LazaridisNature	4.0.0	False	2.7.0	Early Farmers and Hunter Gatherers from Central and Northern Europe. This package does not include all published individuals, see README for details. Originally AADR v42.4.	2023-07-26	1202
2014_LazaridisNature	4.0.2	True	2.7.0	Early Farmers and Hunter Gatherers from Central and Northern Europe. This package does not include all published individuals, see README for details. Originally AADR v42.4.	2023-09-25	1202
2014_MalaspinasCurrentBiology	2.1.1	True	2.5.0	Modern era individuals from Brazil. Originally AADR v42.4.	2023-07-11	2
2014_OlaldeNature	2.1.1	True	2.5.0	A Mesolithic individual from Spain. Originally AADR v42.4.	2023-07-11	1
2014_RaghavanNature	2.1.1	True	2.5.0	Two Paleolithic individuals from Mal’ta and Afontova Gora in Siberia with multiple modern Eurasian reference samples. Originally AADR v42.4.	2023-07-11	6
2014_RaghavanScience	2.1.1	True	2.5.0	Ancient individuals from Arctic Siberia, Alaska, Canada, and Greenland. Originally AADR v42.4.	2023-07-11	4
2014_RasmussenNature	2.1.1	True	2.5.0	One ancient Clovis complex individual (Anzick-1) from North America and two modern American reference samples. Originally AADR v42.4.	2023-07-11	3
2014_SeguinOrlandoScience	2.1.1	True	2.5.0	A Paleolithic modern human sample from European Russia (Kostenki14). Originally AADR v42.4.	2023-07-11	1
2014_SkoglundScience	2.1.1	True	2.5.0	Mesolithic and Neolithic samples from Sweden and Gotland. Originally AADR v42.4.	2023-07-11	11
2015_1000Genomes_1240K_haploid_pulldown	2.1.1	False	2.5.0	1000 Genomes project data pulled down to the 1240K SNP array. Originally AADR v42.4.	2023-07-11	2535
2015_1000Genomes_1240K_haploid_pulldown	2.1.2	True	2.5.0	1000 Genomes project data pulled down to the 1240K SNP array. Originally AADR v42.4.	2023-09-25	2535
2015_AllentoftNature	2.1.1	True	2.5.0	Bronze Age samples from Europe. Originally AADR v42.4.	2023-07-11	98
2015_CassidyPNAS	2.1.1	True	2.5.0	Neolithic and Bronze Age samples from Ireland. Originally AADR v42.4.	2023-07-11	4
2015_FuNature	2.1.1	True	2.5.0	A Palaeolithic sample from Romania (Oase1). Originally AADR v42.4.	2023-07-11	1
2015_GuntherPNAS	2.1.1	True	2.5.0	Neolithic and Bronze Age samples from Spain. Originally AADR v42.4.	2023-07-11	5
2015_JonesNatureCommunications	2.1.1	True	2.5.0	Upper Palaeolithic and Mesolithic samples from Switzerland and Georgia. Originally AADR v42.4.	2023-07-11	3
2015_LlorenteScience	2.1.1	True	2.5.0	An ancient Ethiopian individual (Mota). Originally AADR v42.4.	2023-07-11	1
2015_MathiesonNature	2.1.1	True	2.5.0	Neolithic to Iron Age samples from Western Eurasia. Originally AADR v42.4.	2023-07-11	142
2015_OlaldeMBE	2.1.1	True	2.5.0	An Early Neolithic sample from Iberia. Originally AADR v42.4.	2023-07-11	1
2015_RaghavanScience	2.1.1	True	2.5.0	Diachronic transect of ancient individuals from the Americas. Originally AADR v42.4.	2023-07-11	23
2015_RasmussenNature	2.1.1	True	2.5.0	An ancient North American individual (Kennewick Man). Originally AADR v42.4.	2023-07-11	1
2016_BroushakiScience	2.1.1	True	2.5.0	Early Neolithic samples from Iran. Originally AADR v42.4.	2023-07-11	5
2016_FuNature	2.1.1	True	2.5.0	Upper Palaeolithic samples from Europe. Originally AADR v42.4.	2023-07-11	40
2016_HofmanovaPNAS	2.1.1	True	2.5.0	Neolithic samples from Turkey and Greece. Originally AADR v42.4.	2023-07-11	5
2016_JeongPNAS	2.1.1	True	2.5.0	Diachronic samples from the Himalayan arc. Originally AADR v42.4.	2023-07-11	8
2016_KanzawaJHG	2.1.1	True	2.5.0	Jomon period samples from Japan. Originally AADR v42.4.	2023-07-11	5
2016_KilincCurrentBiology	2.1.1	True	2.5.0	Neolithic samples from Turkey. Originally AADR v42.4.	2023-07-11	9
2016_LazaridisNature	2.1.1	False	2.5.0	Ancient Near Eastern samples from the Mesolithic to the Bronze Age. Also modern reference samples from Europe, the Near East and Northern Africa. Originally AADR v42.4.	2023-07-11	169
2016_LazaridisNature	2.1.3	True	2.5.0	Ancient Near Eastern samples from the Mesolithic to the Bronze Age. Also modern reference samples from Europe, the Near East and Northern Africa. Originally AADR v42.4.	2023-09-25	169
2016_Mallick_SGDP1240K_diploid_pulldown	2.1.1	False	2.5.0	Modern samples from all around the world (Simons Genome Diversity Project - SGDP). Originally AADR v42.4.	2023-07-11	280
2016_Mallick_SGDP1240K_diploid_pulldown	2.1.2	True	2.5.0	Modern samples from all around the world (Simons Genome Diversity Project - SGDP). Originally AADR v42.4.	2023-11-07	280
2016_MartinianoNatureCommunications	2.1.1	True	2.5.0	Iron Age, Roman Era and Early Medieval samples from Great Britain. Originally AADR v42.4.	2023-07-11	9
2016_MondalNatureGenetics	2.1.1	True	2.5.0	Samples from different modern populations from India. Originally AADR v42.4.	2023-07-11	70
2016_OmrakCurrentBiology	2.1.1	True	2.5.0	Neolithic samples from Turkey. Originally AADR v42.4.	2023-07-11	2
2016_SchiffelsNatureCommunications	2.1.1	True	2.5.0	Iron Age and Early Medieval samples from Great Britain. Originally AADR v42.4.	2023-07-11	10
2016_SkoglundNature	2.1.1	False	2.5.0	Modern and ancient samples from Southeast Asia and Oceania. Originally AADR v42.4.	2023-07-11	74
