publication_year	n_samples_per	sample_type	n_samples_cumul
2005	1	Ancient microbial genome	1
2010	3	Ancient human individuals	3
2011	5	Ancient microbial genome	6
2012	5	Ancient human individuals	8
2012	1	Ancient microbial genome	7
2012	1	Ancient animal genome	1
2012	4	Ancient plant genome	4
2013	4	Ancient human individuals	12
2013	26	Ancient microbial genome	33
2013	2	Ancient animal genome	3
2013	0	Ancient plant genome	4
2014	11	Ancient host-associated metagenome	11
2014	35	Ancient human individuals	47
2014	9	Ancient microbial genome	42
2014	7	Ancient animal genome	10
2014	0	Ancient plant genome	4
2015	280	Ancient human individuals	327
2015	15	Ancient microbial genome	57
2015	16	Ancient animal genome	26
2015	0	Ancient plant genome	4
2016	14	Ancient host-associated metagenome	25
2016	132	Ancient human individuals	459
2016	21	Ancient microbial genome	78
2016	14	Ancient animal genome	40
2016	13	Ancient plant genome	17
2017	185	Ancient host-associated metagenome	210
2017	240	Ancient human individuals	699
2017	12	Ancient microbial genome	90
2017	35	Ancient animal genome	75
2017	17	Ancient plant genome	34
2018	129	Ancient host-associated metagenome	339
2018	1451	Ancient human individuals	2150
2018	66	Ancient microbial genome	156
2018	127	Ancient animal genome	202
2018	149	Ancient plant genome	183
2019	81	Ancient host-associated metagenome	420
2019	1415	Ancient human individuals	3565
2019	70	Ancient microbial genome	226
2019	163	Ancient animal genome	365
2019	38	Ancient plant genome	221
2020	285	Ancient host-associated metagenome	705
2020	1843	Ancient human individuals	5408
2020	95	Ancient microbial genome	321
2020	68	Ancient animal genome	433
2020	3	Ancient plant genome	224
2021	362	Ancient host-associated metagenome	1067
2021	2001	Ancient human individuals	7409
2021	210	Ancient microbial genome	531
2021	336	Ancient animal genome	769
2021	15	Ancient plant genome	239
2021	1	Ancient fungi genome	1
2022	283	Ancient host-associated metagenome	1350
2022	2244	Ancient human individuals	9653
2022	49	Ancient microbial genome	580
2022	299	Ancient animal genome	1068
2022	3	Ancient plant genome	242
2022	0	Ancient fungi genome	1
2023	62	Ancient host-associated metagenome	1412
2023	1779	Ancient human individuals	11432
2023	91	Ancient microbial genome	671
2023	125	Ancient animal genome	1193
2023	0	Ancient plant genome	242
2023	0	Ancient fungi genome	1
2024	128	Ancient host-associated metagenome	1540
2024	1347	Ancient human individuals	12779
2024	47	Ancient microbial genome	718
2024	557	Ancient animal genome	1750
2024	0	Ancient plant genome	242
2024	0	Ancient fungi genome	1
